time,symbol,ls_ratio_overall,price,time_diff_ms
1677222564600,BTC,0.497678598,23849.9,54
1677222569430,BTC,0.497005988,23849.9,279
1677222574380,BTC,0.502855425,23849.8,194
1677222579362,BTC,0.536570375,23850.3,362
1677222584173,BTC,0.543686323,23850.2,680
1677222588984,BTC,0.545595054,23850.2,884
1677222594664,BTC,0.5417823,23849.4,1657
1677222599343,BTC,0.545117429,23853.5,618
1677222604048,BTC,0.720578114,23857.1,295
1677222609418,BTC,0.742767515,23863,510
1677222613806,BTC,0.751006829,23863.1,670
1677222619464,BTC,0.756851722,23863.5,134
1677222624237,BTC,0.774937877,23866.1,590
1677222628921,BTC,0.776198934,23866.1,685
1677222633836,BTC,0.787629603,23869,255
1677222639929,BTC,0.843317972,23869.8,1568
1677222644343,BTC,0.858390634,23872,604
1677222649059,BTC,0.879699248,23871.9,82
1677222653967,BTC,0.878287002,23873.1,1024
1677222659734,BTC,0.857355126,23873.3,881
1677222664294,BTC,0.929756851,23870.8,729
1677222669047,BTC,0.951981261,23873.4,273
1677222673767,BTC,0.946661476,23867.8,420
1677222678635,BTC,0.957713391,23870.2,642
1677222684636,BTC,0.994813485,23877,1489
1677222689392,BTC,0.989258007,23872.7,1488
1677222694309,BTC,0.987281399,23870.8,1322
1677222699123,BTC,0.989258007,23870.3,1244
1677222704798,BTC,0.987676406,23874.1,172
1677222709511,BTC,1.00120072,23875,132
1677222714299,BTC,0.998401279,23875,609
1677222719006,BTC,0.995609659,23874.6,720
1677222724024,BTC,1.511931675,23872.1,724
1677222728951,BTC,1.482621648,23870.3,445
1677222734734,BTC,1.491280518,23871.6,322
1677222739546,BTC,1.476473502,23871.7,341
1677222744201,BTC,1.477700694,23871.6,712
1677222748817,BTC,1.485089463,23871.6,46
1677222753929,BTC,1.466091245,23870,5
1677222758794,BTC,1.472187886,23870.1,1307
1677222764789,BTC,1.462447673,23870.1,1054
1677222769735,BTC,1.525252525,23878,95
1677222774461,BTC,1.577984016,23884.3,748
1677222779324,BTC,1.600104004,23885,86
1677222784066,BTC,2.077870114,23885,750
1677222789576,BTC,2.017501509,23882.3,1015
1677222794238,BTC,1.99850075,23880.3,1069
1677222798988,BTC,1.991325157,23880.3,1278
1677222804701,BTC,1.919708029,23878.2,2084
1677222809288,BTC,1.918855809,23878.1,269
1677222814108,BTC,1.857959417,23876.5,505
1677222819715,BTC,1.678093198,23873.1,306
1677222824452,BTC,1.658867323,23874.4,340
1677222829301,BTC,1.683123155,23875.8,316
1677222834113,BTC,1.691065662,23875.9,443
1677222838731,BTC,1.683843264,23875.8,767
1677222844812,BTC,1.440810349,23875.8,428
1677222849737,BTC,1.426595487,23873.5,1064
1677222854421,BTC,1.396931927,23875,284
1677222859282,BTC,1.424242424,23874.9,172
1677222864050,BTC,1.387774594,23875,908
1677222869735,BTC,1.364625207,23872,280
1677222874670,BTC,1.33426704,23866.2,520
1677222879585,BTC,1.339181287,23866.3,1352
1677222884005,BTC,1.342468962,23866.2,446
1677222888675,BTC,1.329916123,23866.3,75
1677222894626,BTC,1.311604253,23866.2,83
1677222899004,BTC,1.308402585,23866.2,408
1677222903826,BTC,0.72860847,23854.4,740
1677222908739,BTC,0.723543606,23855.6,495
1677222914746,BTC,0.721763085,23858,338
1677222919774,BTC,0.621008267,23857.2,808
1677222924460,BTC,0.62469537,23856,1245
1677222929167,BTC,0.627869119,23857.1,1454
1677222933986,BTC,0.639344262,23857.3,644
1677222939584,BTC,0.651254954,23857.3,729
1677222944022,BTC,0.640150894,23854.1,345
1677222948704,BTC,0.638269987,23854.2,829
1677222953597,BTC,0.611863314,23855.7,691
1677222959587,BTC,0.647175095,23858,1344
1677222964084,BTC,0.556904873,23857.9,719
1677222969488,BTC,0.554968123,23858,416
1677222974064,BTC,0.560792883,23857.9,3
1677222978777,BTC,0.562988434,23857.9,315
1677222983860,BTC,0.574059499,23857.9,845
1677222989563,BTC,0.575547503,23855.8,915
1677222994150,BTC,0.585037248,23852.7,1388
1677222999005,BTC,0.587049675,23852.8,53
1677223003693,BTC,0.595659805,23852.8,414
1677223009681,BTC,0.596678908,23852.8,208
1677223014792,BTC,0.54822728,23845.7,852
1677223019541,BTC,0.554001554,23850,236
1677223024071,BTC,0.450957632,23844.7,806
1677223028740,BTC,0.473839352,23844.5,622
1677223034913,BTC,0.466705779,23846.9,1844
1677223038670,BTC,0.449275362,23844,999
1677223044703,BTC,0.448645516,23844.1,387
1677223049637,BTC,0.457301078,23844,1412
1677223054371,BTC,0.4522219,23842.2,2020
1677223059310,BTC,0.452011035,23841.7,1
1677223064171,BTC,0.462629808,23839.9,357
1677223068940,BTC,0.458576429,23838.5,1113
1677223073905,BTC,0.45285486,23838.5,514
1677223079615,BTC,0.449905756,23838.5,1519
1677223084208,BTC,0.423892923,23838.5,531
1677223089036,BTC,0.43328078,23838.6,130
1677223094776,BTC,0.399580126,23830.5,1550
1677223099276,BTC,0.399580126,23828.3,11
1677223104144,BTC,0.391014049,23828.2,427
1677223108949,BTC,0.370426203,23817.2,456
1677223114007,BTC,0.375705049,23817.2,187
1677223119114,BTC,0.38121547,23815.7,472
1677223123810,BTC,0.392175971,23811.3,429
1677223129632,BTC,0.388888889,23805.7,205
1677223134365,BTC,0.39275766,23803.6,1001
1677223139072,BTC,0.388117712,23797.9,284
1677223143660,BTC,0.365747064,23791.7,332
1677223149329,BTC,0.377031121,23789.5,263
1677223153914,BTC,0.381978994,23786.9,932
1677223159578,BTC,0.395089286,23786.1,914
1677223164475,BTC,0.428367376,23791.3,67
1677223169077,BTC,0.432870039,23787.7,923
1677223173577,BTC,0.444043321,23787.6,315
1677223179726,BTC,0.462843768,23791.2,558
1677223184596,BTC,0.506024096,23801.9,311
1677223189403,BTC,0.526950679,23799.4,1295
1677223194416,BTC,0.528117359,23791.3,512
1677223199313,BTC,0.530690341,23791.2,54
1677223204147,BTC,0.59642401,23792,467
1677223209113,BTC,0.622586403,23791.6,624
1677223213898,BTC,0.586294416,23787,890
1677223218819,BTC,0.570845115,23784.8,648
1677223223962,BTC,0.618908855,23788.3,232
1677223228857,BTC,0.614205004,23785.5,764
1677223233777,BTC,0.62575191,23788.3,433
1677223238660,BTC,0.633986928,23788.3,1163
1677223244570,BTC,0.664170411,23792.1,1053
1677223249361,BTC,0.670564651,23788.5,177
1677223254119,BTC,0.680954782,23792.2,278
1677223258815,BTC,0.686056314,23793,332
1677223263793,BTC,0.697792869,23792.2,717
1677223269729,BTC,0.676727029,23784.1,1530
1677223274568,BTC,0.690902942,23786.6,1117
1677223279549,BTC,0.694340901,23793,526
1677223284476,BTC,0.658925017,23774.1,161
1677223289186,BTC,0.653165813,23774.8,756
1677223294420,BTC,0.663616703,23782.2,65
1677223299218,BTC,0.658374793,23777.1,806
1677223303912,BTC,0.662510391,23780,175
1677223309760,BTC,0.676727029,23788.8,178
1677223314441,BTC,0.674761347,23785.7,366
1677223319125,BTC,0.6753225,23782.2,609
1677223323926,BTC,0.669727834,23775.1,526
1677223329526,BTC,0.687194196,23772,63
1677223333994,BTC,0.694915254,23776.6,354
1677223338665,BTC,0.703577513,23776.4,1058
1677223344499,BTC,0.702997275,23776.4,829
1677223349193,BTC,0.703577513,23776.6,198
1677223353932,BTC,0.71320884,23778.2,584
1677223358686,BTC,0.721763085,23779.9,865
1677223364436,BTC,0.72146669,23779.3,891
1677223369597,BTC,0.725625539,23779.1,68
1677223374425,BTC,0.725923369,23779.2,1014
1677223379039,BTC,0.725923369,23784.1,35
1677223383980,BTC,0.869508319,23783.9,379
1677223388797,BTC,0.887148519,23781,1123
1677223394526,BTC,0.896094046,23783,833
1677223398328,BTC,0.896813354,23783,1571
1677223404511,BTC,0.897893338,23786.4,19
1677223409203,BTC,0.894657067,23781,628
1677223414241,BTC,0.888574127,23780.1,514
1677223419229,BTC,0.893939394,23782.5,779
1677223424055,BTC,0.913143294,23792.7,480
1677223428981,BTC,0.933861922,23793.9,390
1677223433947,BTC,0.942124684,23794.7,757
1677223438588,BTC,0.948937829,23794.1,146
1677223443547,BTC,0.99123855,23803.1,173
1677223449655,BTC,1.04248366,23808.8,451
1677223454160,BTC,1.051702913,23808.8,473
1677223458873,BTC,1.020610224,23803.1,1123
1677223463789,BTC,1.030869212,23808,240
1677223469709,BTC,1.018570852,23799.4,980
1677223474672,BTC,0.99920032,23790.8,84
1677223479228,BTC,0.979805979,23781.9,731
1677223483865,BTC,0.976284585,23781.6,379
1677223489803,BTC,0.964636542,23780,902
1677223494394,BTC,0.971608833,23780,439
1677223499124,BTC,0.961168857,23782.8,435
1677223503701,BTC,0.932740626,23780.7,1325
1677223508823,BTC,0.940993789,23777.7,274
1677223514630,BTC,0.930874686,23779.9,1277
1677223519495,BTC,0.911314985,23777,16
1677223524316,BTC,0.793078716,23766.6,931
1677223529210,BTC,0.688048616,23757.8,192
1677223534288,BTC,0.728309713,23768.4,732
1677223539217,BTC,0.740038281,23769.3,415
1677223543972,BTC,0.744591766,23768.8,661
1677223548842,BTC,0.750393839,23769.3,487
1677223553711,BTC,0.762114537,23776.7,415
